Country Name,2018,2019,2020,2021
Kazakhstan,11053.3604,11402.7584,10974.24463,11298.35592
Kenya,1604.802927,1653.82898,1616.502399,1705.740384
Kiribati,1459.793674,1405.469188,1357.888827,1437.287382
"Korea, Rep.",31053.63793,31640.21463,31372.47126,32730.65063
Kuwait,26664.6311,25777.56662,23929.48088,24871.81022
Kyrgyz Republic,1197.61057,1226.824306,1102.664221,1151.096625
Lao PDR,2467.955762,2564.019654,2539.124525,2566.277422
Latvia,15558.69178,16069.84043,15826.41266,16609.07515
Lebanon,8435.637354,8081.743344,6485.72604,6107.454709
Lesotho,1061.432424,1040.218665,969.3959526,972.6922037
Libya,10595.24683,9278.27171,6431.462911,8347.142631
Lithuania,16443.58529,17249.71844,17241.29523,18233.62744
Luxembourg,106376.7836,106729.0249,104128.2421,107792.189
Macao,80477.67724,76959.2441,34561.9558,40601.21731
Madagascar,470.4238982,478.9269613,433.8382399,447.7846759
Malawi,558.5604523,573.4001137,562.7830384,563.3619559
Malaysia,10777.74924,11114.54271,10374.19005,10575.87687
Maldives,10342.88912,10753.12132,7013.55575,9807.557189
Mali,767.5715955,779.326625,745.8859848,744.7604273
Malta,27856.76443,28660.02766,25618.88913,28466.44446
Mauritania,1628.038872,1670.028839,1612.154358,1609.931715
Mauritius,10652.48369,10956.94502,9357.301801,9672.947105
Mexico,10120.38483,10013.72425,9147.072744,9525.429719
"Micronesia, Fed. Sts.",2962.238581,2984.930124,2913.218373,2794.786416
Moldova,3268.425967,3439.12964,3189.336377,3661.303466
Mongolia,4242.300222,4385.111677,4106.602684,4107.183722
Montenegro,7381.804173,7684.180362,6515.533745,7390.304646
Morocco,3296.194092,3355.613037,3081.367432,3290.604004
Mozambique,604.0075606,600.4033659,576.2235088,573.1130528
Myanmar,1488.530549,1577.802744,1616.208531,1317.45304
Namibia,4714.452579,4596.619636,4152.1807,4228.784997
Nepal,1006.606909,1061.486278,1018.107913,1042.973974
Netherlands,47826.81912,48443.73205,46303.21886,48301.52896
New Zealand,40422.34579,40757.36815,39607.87893,41481.98674
Nicaragua,2052.135902,1965.277906,1904.284366,2072.287533
Niger,510.573131,520.9194002,519.6787953,507.7111317
Nigeria,2512.080983,2505.462745,2401.1839,2429.585781
North Macedonia,5184.696805,5386.20275,5067.215887,5365.476099
Norway,76373.64746,76712.28713,75287.20595,77805.00755
Occ.Pal.Terr,3417.794408,3378.434621,2922.468011,3051.48607
Oman,18256.65315,18044.27045,17662.24284,18300.762
Pakistan,1440.425252,1452.851429,1409.697461,1473.864753
Palau,15062.95676,15078.70895,13662.75409,11806.89161
Panama,14922.13,15166.88091,12307.25921,14069.87941
Papua New Guinea,2536.083493,2590.494236,2455.145638,2408.24912
Paraguay,6338.500516,6229.21196,6095.378718,6259.725741
Peru,6530.422502,6550.447518,5754.310172,6446.89325
Philippines,3439.100528,3589.613641,3195.538887,3328.042359
Poland,14408.38439,15053.23936,14774.9892,15850.29254
Portugal,21057.61748,21617.41162,19802.22902,20835.10893
Qatar,60080.69655,59672.64155,58476.19943,61000.97739
Romania,10778.44925,11252.88655,10898.92233,11617.99063
Russian Federation,9739.908203,9958.469727,9714.383789,10301.66504
Rwanda,815.050688,871.1098908,821.7850596,889.8120428
Samoa,4277.341956,4421.294484,4223.588113,3855.568987
Sao Tome and Principe,1665.395716,1676.396313,1695.171292,1692.43531
Saudi Arabia,20096.55249,19806.11547,18856.91381,19621.89194
Senegal,1384.642075,1409.970821,1391.046955,1443.325919
"Serbia, FR(Serbia/Montenegro)",6261.5257,6567.908055,6552.084391,7113.575245
Seychelles,16110.98524,16747.34328,15168.77958,15859.67869
Sierra Leone,617.5295194,634.9856157,608.3381202,619.2692233
Singapore,61276.94659,61386.23615,59175.81104,67175.864
Slovak Republic,17818.23411,18240.72093,17617.04931,18513.08534
Slovenia,23483.52912,24125.39204,22928.76274,24744.8413
Solomon Islands,2217.817285,2203.983401,2079.56036,2019.046483
South Africa,6250.997544,6189.289245,5726.262775,5947.887199
Spain,27739.86477,28087.89792,24785.44671,26125.87167
Sri Lanka,4495.71047,4458.434434,4229.749601,4331.473685
St. Kitts and Nevis,21254.48153,22137.37556,18948.49765,18795.93464
St. Lucia,11176.54672,11060.68889,8335.148599,9333.141337
St. Vincent and the Grenadines,8152.377941,8234.274462,7948.482935,8031.421043
Suriname,8751.004442,8756.155154,7275.365674,7008.430836
Sweden,52983.00686,53490.35182,51952.67313,54422.91813
Switzerland,86756.60213,87123.66044,84434.77849,87339.75975
Tajikistan,1116.293089,1172.079123,1197.210683,1281.960911
Tanzania,1011.744751,1038.736328,1028.145508,1040.974731
Thailand,6336.239739,6453.894143,6048.100328,6127.589893
Togo,817.6817992,837.4929276,833.8599088,863.1438987
Tonga,4587.279387,4628.447252,4637.674691,4481.477615
Trinidad and Tobago,15716.90748,15576.4346,14397.55038,14179.554
Tunisia,4070.145782,4094.880578,3699.288023,3830.374537
Turkey,11938.74544,11935.38787,12072.39944,13341.55634
Turks and Caicos Isl.,25080.16449,25438.78329,18122.42502,19381.98593
Tuvalu,3718.43212,4197.239177,3976.797643,3999.759591
Uganda,896.162532,922.0231741,918.1200979,920.5476145
Ukraine,2336.976563,2425.63501,2350.400146,2452.98291
